id,text,label,source,platform_type,language,date_collected
UG_TRUE_001,"The Ministry of Health confirms no outbreak of Ebola in Kampala.",TRUE,Daily Monitor,News Website,English,2025-01-10
UG_FAKE_001,"Drinking hot water every 15 minutes kills COVID-19 virus in the body.",FAKE,AfricaCheck,Fact-Check,English,2025-01-10
UG_FAKE_002,"Government has approved free electricity for all Ugandans starting next month.",FAKE,PesaCheck,Fact-Check,English,2025-01-11
UG_TRUE_002,"Parliament passes new amendment to the National ID registration law.",TRUE,New Vision,News Website,English,2025-01-11
UG_TRUE_003,"Museveni alisema hakuna lockdown tena nchini Uganda.",TRUE,BBC Africa,News Website,Mixed,2025-01-12
UG_FAKE_003,"No, video does not show US troops arriving in Uganda to assist 2026 election campaigns.",FAKE,AFP Fact Check,Fact-Check,English,2025-19-12
UG_TRUE_004,"Uganda to host the 2025 Africa Cup of Nations.",TRUE,CNN,News Website,English,2025-01-13
UG_FAKE_004,"Eating garlic prevents malaria infection.",FAKE,HealthLine,Fact-Check,English,2025-01-13
UG_TRUE_005,"Waziri wa Afya atangaza kampeni ya chanjo ya sura ya matumbo kuanzia mwezi ujao.",TRUE,VOA Swahili,News Website,Mixed,2025-01-14
UG_TRUE_006,"No evidence that 5G technology spreads COVID-19 virus.",TRUE,Reuters,News Website,English,2025-01-14
UG_TRUE_007,"Uganda's economy grows by 6% in the last quarter.",TRUE,The East African,News Website,English,2025-01-15
UG_FAKE_004,"Front page of Ugandan daily New Vision calling president Yoweri Museveni the ‘worst dictator’ is fake.",FAKE,AfricaCheck,Fact-Check,English,2025-07-15
UG_TRUE_008,"Uganda bans single-use plastics to combat environmental pollution.",TRUE,Daily Monitor,News Website,English,2025-01-16
UG_FAKE_005,"NTV Uganda ‘tweet’ apologising for announcing ‘fake’ election results is – fake.",FAKE,AfricaCheck,Fact-Check,English,2021-02-10
UG_FAKE_006,"No, Ugandan health ministry did not raise alarm about quarantined Covid-19 patients having sex.",FAKE,AfricaCheck,Fact-Check,English,2020-04-22
UG_FAKE_007,"Manipulated video shows US president Trump urging Ugandans not to forgive president Museveni until he resigns.",FAKE,AfricaCheck,Fact-Check,English,2025-10-21
UG_FAKE_008,"No, photo of Ugandan police officer with ballot box from 2016, not 2021 elections.",FAKE,AfricaCheck,Fact-Check,English,2021-01-25
UG_FAKE_009,"Viral video of president Yoweri Museveni saying Ugandans will never vote for opposition leader Bobi Wine fabricated.",FAKE,AfricaCheck,Fact-Check,English,2025-12-19
UG_FAKE_010,"Fake tweet claims Ugandan car owners will be fined for not driving twice a week, but no such law exists.",FAKE,AfricaCheck,Fact-Check,English,2025-07-04
UG_FAKE_011,"No, tweet saying Ugandan police will arrest women who turn down men and promote homosexuality is fake.",FAKE,AfricaCheck,Fact-Check,English,2023-03-09
UG_FAKE_012,"No, the UK hasn't blocked Uganda Airlines' direct flights to London Gatwick airport.",FAKE,AfricaCheck,Fact-Check,English,2025-03-31
UG_FAKE_013,"Front page of Ugandan daily New Vision calling president Yoweri Museveni the ‘worst dictator’ is fake.",FAKE,AfricaCheck,Fact-Check,English,2025-07-02
UG_FAKE_014,"NTV Uganda ‘tweet’ apologising for announcing ‘fake’ election results is – fake.",FAKE,AfricaCheck,Fact-Check,English,2021-02-10
UG_FAKE_015,"No CNN report on ‘pressure’ for Ugandan president Museveni to change name.",FAKE,AfricaCheck,Fact-Check,English,2020-10-16
UG_FAKE_016,"Disregard fake Sunday Monitor front page headlined ‘Saleh spends billions to stop Kyagulanyi in Gulu’",FAKE,AfricaCheck,Fact-Check,English,2025-12-15
UG_FAKE_017,"Ignore fake newspaper page claiming Ugandan opposition leader Bobi Wine plans to lose 2026 elections.",FAKE,AfricaCheck,Fact-Check,English,2025-10-16
UG_FAKE_018,"Report alleging opposition-led plot to overthrow Ugandan government is fake, says country’s army.",FAKE,AfricaCheck,Fact-Check,English,2024-08-23
UG_FAKE_019,"No, Ugandan police didn’t tweet that president Museveni’s academic documents were destroyed in fire.",FAKE,AfricaCheck,Fact-Check,English,2020-09-30
UG_FAKE_020,"Ugandan opposition politician Zahara Luyirika didn’t endorse president Museveni – viral image doctored.",FAKE,AfricaCheck,Fact-Check,English,2025-11-18
UG_FAKE_021,"No, Ugandan sheikh not being charged by police for refusing to hold president’s portrait.",FAKE,AfricaCheck,Fact-Check,English,2020-10-3
UG_FAKE_022,"No, Ugandan president Museveni didn’t announce military reshuffle on Twitter.",FAKE,AfricaCheck,Fact-Check,English,2020-06-22
UG_FAKE_023,"No, Uganda Police Force not recruiting polling constables for 2026 election.",FAKE,AfricaCheck,Fact-Check,English,2025-10-24
UG_FAKE_024,"No, Nigerian actor Genevieve Nnaji didn’t post Facebook endorsement of Bobi Wine for Uganda’s presidency.",FAKE,AfricaCheck,Fact-Check,English,2020-11-12
UG_FAKE_025,"No, Uganda’s deputy police spokesperson didn’t announce resignation on Twitter.",FAKE,AfricaCheck,Fact-Check,English,2020-12-01
UG_FAKE_026,"No, Ugandan opposition leader Bobi Wine didn’t call for president Museveni’s assassination.",FAKE,AfricaCheck,Fact-Check,English,2020-08-15
UG_FAKE_027,"Viral letter falsely claims Ugandan politician Bosmic Otim was barred from ruling party elections due to fraud.",FAKE,AfricaCheck,Fact-Check,English,2025-08-14
UG_FAKE_028,"NCBA Bank Uganda warns against fake job ads on social media.",FAKE,AfricaCheck,Fact-Check,English,2024-09-23
UG_FAKE_029,"Uganda’s finance ministry not giving free grants to entrepreneurs, farmers.",FAKE,AfricaCheck,Fact-Check,English,2020-07-16
UG_FAKE_030,"Ugandan army says circulating press release condemning human rights abuses is fake.",FAKE,AfricaCheck,Fact-Check,English,2024-08-13
UG_FAKE_031,"No evidence Ugandan president Yoweri Museveni is hospitalised or critically ill.",FAKE,AfricaCheck,Fact-Check,English,2025-10-22
UG_FAKE_032,"Fake news, says Uganda's New Vision newspaper over school coupling nod claim.",FAKE,AfricaCheck,Fact-Check,English,2024-09-19
UG_FAKE_033,"Beware! Fake Uganda deputy police spokesperson Twitter account at it again .",FAKE,AfricaCheck,Fact-Check,English,2021-01-08
UG_TRUE_009,"Uganda launches new initiative to improve access to clean water in rural areas.",TRUE,Daily Monitor,News Website,English,2025-01-17
UG_TRUE_010,"Uganda's central bank maintains interest rates to support economic growth.",TRUE,New Vision,News Website,English,2025-01-18
UG_TRUE_011,"Waziri wa Elimu atangaza mikakati mipya ya kuboresha elimu nchini Uganda.",TRUE,VOA Swahili,News Website,Mixed,2025-01-18
UG_TRUE_012,"Uganda signs agreement to enhance regional trade with neighboring countries.",TRUE,CNN,News Website,English,2025-01-19
UG_TRUE_013,"Uganda's tourism sector shows signs of recovery post-pandemic.",TRUE,BBC Africa,News Website,Mixed,2025-01-19
UG_TRUE_014,"New infrastructure projects to boost connectivity in Uganda announced.",TRUE,The East African,News Website,English,2025-01-20
UG_TRUE_015,"Uganda's agricultural exports increase significantly in the last fiscal year.",TRUE,Daily Monitor,News Website,English,2025-01-20
UG_TRUE_016,"Uganda to implement new policies to support small and medium enterprises.",TRUE,New Vision,News Website,English,2025-01-21
UG_TRUE_017,"Waziri wa Afya atangaza hatua mpya za kupambana na magonjwa nchini Uganda.",TRUE,VOA Swahili,News Website,Mixed,2025-05-21
UG_TRUE_018,"Uganda collaborates with international partners to enhance healthcare services.",TRUE,CNN,News Website,English,2025-01-22
UG_TRUE_019,"Uganda's education sector adopts new technologies to improve learning outcomes.",TRUE,BBC Africa,News Website,English,2025-01-22
UG_TRUE_020,"Uganda's renewable energy initiatives gain momentum with new projects.",TRUE,The East African,News Website,English,2025-01-23
UG_TRUE_021,"Uganda's government launches campaign to promote tourism in the country.",TRUE,Daily Monitor,News Website,English,2025-06-06
UG_TRUE_022,"Uganda's infrastructure development projects receive international funding.",TRUE,New Vision,News Website,English,2025-01-24
UG_FAKE_034,"No, Ugandan president Museveni didn’t declare war on social media platforms.",FAKE,AfricaCheck,Fact-Check,English,2025-04-12
UG_FAKE_035,"No, newspaper didn’t report that Ugandan presidential hopeful Bobi Wine spent millions on witchcraft.",FAKE,AfricaCheck,Fact-Check,English,2020-12-18
UG_FAKE_036,"No, Uganda’s state-owned electricity distributor is not hiring.",FAKE,AfricaCheck,Fact-Check,English,2025-03-03
UG_FAKE_037,"Uganda’s health ministry ‘discussing’ announcement of third Covid-19 death? No, Facebook post fake.",FAKE,AfricaCheck,Fact-Check,English,2020-07-31
UG_FAKE_038,"Ignore fake timetable for Uganda’s primary school exams circulating online.",FAKE,AfricaCheck,Fact-Check,English,2024-08-18
UG_FAKE_039,"No, Ugandan opposition leader Bobi Wine didn’t call for a general strike.",FAKE,AfricaCheck,Fact-Check,English,2025-04-15
UG_FAKE_040,"No, Ugandan minister didn’t announce free laptops for all students.",FAKE,AfricaCheck,Fact-Check,English,2025-02-20
UG_FAKE_041,"No, Ugandan government didn’t ban social media platforms.",FAKE,AfricaCheck,Fact-Check,English,2025-03-15
UG_FAKE_042,"No, image not of Ugandan soldiers ‘slaughtering’ locusts.",FAKE,AfricaCheck,Fact-Check,English,2020-02-22
UG_FAKE_043,"Ignore fake graphics claiming president Yoweri Museveni barred CNN journalist Larry Madowo from covering Uganda’s 2026 elections.",FAKE,AfricaCheck,Fact-Check,English,2025-12-17
UG_FAKE_044,"Ugandan opposition party wins youth vote by landslide? No, headline fake.",FAKE,AfricaCheck,Fact-Check,English,2020-12-30
UG_FAKE_045,"No, president William Ruto didn’t hint at giving Kenya’s portion of the Indian Ocean to Uganda to prevent war.",FAKE,AfricaCheck,Fact-Check,English,2025-12-01
UG_FAKE_046,"No, Ugandan president Museveni didn’t tweet announcement of his brother’s death.",FAKE,AfricaCheck,Fact-Check,English,2023-09-27
UG_FAKE_047,"No, Uganda’s police didn’t threaten to arrest people who don’t watch NBS TV.",FAKE,AfricaCheck,Fact-Check,English,2021-02-21
UG_FAKE_048,"Altered photo used to claim Ugandan opposition politician Mpuuga running for 2026 presidency.",FAKE,AfricaCheck,Fact-Check,English,2024-04-29
UG_FAKE_049,"Front page claiming ‘203 killed’ in Ugandan riots fake, says newspaper New Vision.",FAKE,AfricaCheck,Fact-Check,English,2020-11-24
UG_FAKE_050,"No, Uganda’s NBS TV didn’t apologise for announcing ‘fake’ election results.",FAKE,AfricaCheck,Fact-Check,English,2021-02-05
UG_TRUE_023,"Uganda's government announces new measures to support farmers amid climate change challenges.",TRUE,Daily Monitor,News Website,English,2025-01-25
UG_FAKE_051,"Fake UN job ad targets Ugandans amid unemployment crisis.",FAKE,AfricaCheck,Fact-Check,English,2025-06-30
UG_FAKE_052,"No, Ugandan anti-graft unit not investigating official for misuse of public property.",FAKE,AfricaCheck,Fact-Check,English,2020-08-12
UG_FAKE_053,"Uganda Red Cross doesn’t advertise jobs on Facebook – beware scam charging ‘registration fee’.",FAKE,AfricaCheck,Fact-Check,English,2020-03-20
UG_FAKE_054,"Motorists from Uganda and Tanzania crossing into Kenya for cheaper fuel? No, ignore fake graphic.",FAKE,AfricaCheck,Fact-Check,English,2024-03-20
UG_FAKE_055,"Ugandan tabloid front page with headline about Kenya’s deputy president photoshopped.",FAKE,AfricaCheck,Fact-Check,English,2022-05-25
UG_TRUE_024,"Uganda's government to invest in renewable energy projects to reduce carbon emissions.",TRUE,New Vision,News Website,English,2025-01-26
UG_FAKE_056,"Ugandan govt ‘to start killing youth’? No, newspaper front page manipulated.",FAKE,AfricaCheck,Fact-Check,English,2019-10-14
UG_FAKE_057,"Photo of opposition leader Bobi Wine supporting Ugandan president Museveni doctored.",FAKE,AfricaCheck,Fact-Check,English,2021-01-01
UG_FAKE_058,"Kenyan police didn’t issue statement alleging immigrants were involved in violent street protests in Nairobi.",FAKE,AfricaCheck,Fact-Check,English,2025-07-09
UG_FAKE_059,"Covid-19 funds stolen? No, front page of Uganda’s New Vision newspaper doctored.",FAKE,AfricaCheck,Fact-Check,English,2020-08-14
UG_FAKE_060,"Scam! Botswana’s finance ministry not advertising business grants on Facebook.",FAKE,AfricaCheck,Fact-Check,English,2020-09-10
UG_FAKE_061,"Old photos used to falsely claim Ugandan opposition leader Bobi Wine was at president’s residency in 2025.",FAKE,AfricaCheck,Fact-Check,English,2025-11-19
UG_FAKE_062,"Beware of fake Ugandan hotel, resorts and lodges ‘gold list’ ranking.",FAKE,AfricaCheck,Fact-Check,English,2022-11-15
UG_FAKE_063,"Altered photo used to claim Ugandan opposition politician Mpuuga running for 2026 presidency.",FAKE,AfricaCheck,Fact-Check,English,2024-04-29
UG_FAKE_064,"Unresponsive Facebook public group 'Equity Bank Uganda' is fake, legitimate Equity Bank page is verified, won't contact you on WhatsApp.",FAKE,AfricaCheck,Fact-Check,English,2023-07-27
UG_FAKE_065,"Ignore TikTok video claiming Marburg outbreak in Uganda and possible lockdowns.",FAKE,AfricaCheck,Fact-Check,English,2025-01-25
UG_FAKE_066,"Ugandans, steer clear of Twitter account impersonating Stanbic bank Uganda.",FAKE,AfricaCheck,Fact-Check,English,2023-08-01
UG_FAKE_067,"NUP spokesperson Waiswa Mufumbiro has not been released on bail",FAKE,PesaCheck,Fact-Check,English,2025-12-12
UG_FAKE_068,"This video of Bobi Wine commenting on the violence in Uganda is edited",FAKE,PesaCheck,Fact-Check,English,2025-11-26
UG_FAKE_069,"Kampala MP aspirant Abraham Luzzi is not dead.",FAKE,PesaCheck,Fact-Check,English,2025-02-15
UG_FAKE_070,"This purported President Museveni Christmas grant is fake",FAKE,PesaCheck,Fact-Check,English,2025-12-24
UG_FAKE_071,"This image of a plane on the road wasn’t taken in Kenya",FAKE,PesaCheck,Fact-Check,English,2025-03-05
UG_FAKE_072,"This video of Bobi Wine being arrested is from 2021",FAKE,PesaCheck,Fact-Check,English,2025-10-14
UG_FAKE_073,"There is no evidence that Ugandan opposition leader Bobi Wine has fled to the US",FAKE,PesaCheck,Fact-Check,English,2025-08-30
UG_FAKE_074,"This video of US President Trump commenting on electoral violence in Uganda is doctored. The original video is of Trump’s speech during his campaign in Wisconsin in 2016.",FAKE,PesaCheck,Fact-Check,English,2025-11-05
UG_FAKE_075,"This video of Bobi Wine calling for the overthrow of the Ugandan government is fake",FAKE,PesaCheck,Fact-Check,English,2025-09-15
UG_TRUE_025,"Uganda's government to launch nationwide digital literacy program for youth.",TRUE,Daily Monitor,News Website,English,2025-01-27
UG_FAKE_076,"HOAX: This Shell Christmas promo is fake",FAKE,PesaCheck,Fact-Check,English,2025-12-20
UG_FAKE_077,"This video of Ugandan security forces shooting at protesters is from 2020",FAKE,PesaCheck,Fact-Check,English,2025-10-19
UG_FAKE_078," This video is not of businessman Ham Kiggundu speaking after traders lost merchandise in downtown Kampala floods",FAKE,PesaCheck,Fact-Check,English,2025-09-10
UG_FAKE_079,"FALSE: Uganda’s EC spokesperson did not ask Ugandans to stay at polling stations until votes are counted",FAKE,PesaCheck,Fact-Check,English,2025-10-14
UG_FAKE_080,"This video of Bobi Wine calling for international intervention in Uganda is fake",FAKE,PesaCheck,Fact-Check,English,2025-11-20
UG_FAKE_081,"Uganda’s EC spokesperson did not ask Ugandans to stay at polling stations until votes are countedThe video was created using AI.",FAKE,PesaCheck,Fact-Check,English,2025-10-14
UG_FAKE_082,"ALTERED: This purported 7 December 2025 Sunday Monitor cover is edited",FAKE,PesaCheck,Fact-Check,English,2025-12-08
UG_FAKE_083,"FALSE: This video is not of businessman Ham Kiggundu speaking after traders lost merchandise in downtown Kampala floods. The original video, from June 2023, is of Ham commenting about a case pitting him against Diamond Trust Bank.",FAKE,PesaCheck,Fact-Check,English,2025-12-10
UG_FAKE_084,"This video of Ugandan security forces shooting at protesters is from 2020The video was created using AI.",FAKE,PesaCheck,Fact-Check,English,2025-10-19
UG_FAKE_085,"This video of Bobi Wine calling for international intervention in Uganda is fakeThe video was created using AI.",FAKE,PesaCheck,Fact-Check,English,2025-11-20  
UG_TRUE_026,"Uganda's government to enhance cybersecurity measures to protect citizens online.",TRUE,New Vision,News Website,English,2025-01-28 
UG_TRUE_027,"Uganda's healthcare system to receive new medical equipment to improve patient care.",TRUE,VOA Swahili,News Website,Mixed,2025-01-28
UG_TRUE_028,"Uganda's government to implement new policies to support renewable energy development.",TRUE,CNN,News Website,English,2025-01-29
UG_TRUE_029,"Uganda's education sector to receive increased funding for infrastructure development.",TRUE,BBC Africa,News Website,Mixed,2025-01-29
UG_TRUE_030,"Uganda's tourism industry to launch new marketing campaign to attract international visitors.",TRUE,The East African,News Website,English,2025-01-30   
UG_TRUE_031,"Uganda's government to invest in digital infrastructure to support economic growth.",TRUE,Daily Monitor,News Website,English,2025-01-30    
UG_TRUE_032,"Uganda's agricultural sector to benefit from new irrigation projects to boost productivity.",TRUE,New Vision,News Website,English,2025-01-31
UG_TRUE_033,"Uganda's government to implement new measures to improve public transportation systems.",TRUE,VOA Swahili,News Website,Mixed,2025-01-31
UG_TRUE_034,"Uganda's healthcare sector to receive training programs for medical professionals.",TRUE,CNN,News Website,English,2025-02-01
UG_TRUE_035,"Uganda's education system to adopt new curriculum to enhance student learning outcomes.",TRUE,BBC Africa,News Website,English,2025-02-01
UG_TRUE_036,"Uganda's government to launch new initiatives to promote entrepreneurship among youth.",TRUE,The East African,News Website,English,2025-02-02  
UG_TRUE_037,"Uganda's government to enhance disaster preparedness and response mechanisms.",TRUE,Daily Monitor,News Website,English,2025-02-02    
UG_TRUE_038,"Uganda's tourism sector to develop new eco-tourism destinations to attract visitors.",TRUE,New Vision,News Website,English,2025-02-03
UG_TRUE_039,"Uganda's government to implement new policies to support smallholder farmers.",TRUE,VOA Swahili,News Website,Mixed,2025-02-03
UG_TRUE_040,"Uganda's healthcare system to expand access to essential medicines in rural areas.",TRUE,CNN,News Website,English,2025-02-04
UG_TRUE_041,"Uganda's education sector to receive new technology resources to enhance teaching and learning.",TRUE,BBC Africa,News Website,English,2025-02-04
UG_TRUE_042,"Uganda's government to invest in renewable energy projects to reduce carbon emissions.",TRUE,The East African,News Website,English,2025-02-05  
UG_TRUE_043,"Uganda's government to launch campaign to promote tourism in the country.",TRUE,Daily Monitor,News Website,English,2025-06-06    
UG_TRUE_044,"Uganda's infrastructure development projects receive international funding.",TRUE,New Vision,News Website,English,2025-02-06   
UG_TRUE_045,"Uganda's government to implement new measures to support digital innovation.",TRUE,VOA Swahili,News Website,Mixed,2025-02-06
UG_TRUE_046,"Uganda's healthcare sector to receive new funding for disease prevention programs.",TRUE,CNN,News Website,English,2025-02-07
UG_TRUE_047,"Uganda's education system to implement new teacher training programs to improve quality of education.",TRUE,BBC Africa,News Website,English,2025-02-07
UG_TRUE_048,"Uganda's government to invest in infrastructure projects to improve rural connectivity.",TRUE,The East African,News Website,English,2025-02-08  
UG_TRUE_049,"Uganda's agricultural sector to benefit from new market access initiatives for farmers.",TRUE,Daily Monitor,News Website,English,2025-02-08    
UG_TRUE_050,"Uganda's government to enhance public health campaigns to promote healthy lifestyles.",TRUE,New Vision,News Website,English,2025-02-09 
UG_TRUE_051,"Uganda's tourism industry to develop new cultural heritage sites to attract visitors.",TRUE,VOA Swahili,News Website,Mixed,2025-02-09
UG_TRUE_052,"Uganda's government to implement new policies to support small and medium enterprises.",TRUE,CNN,News Website,English,2025-02-10
UG_TRUE_053,"Uganda's healthcare system to receive new medical supplies to improve patient care.",TRUE,BBC Africa,News Website,English,2025-02-10
UG_TRUE_054,"Uganda's education sector to receive increased funding for school infrastructure development.",TRUE,The East African,News Website,English,2025-02-11  
UG_TRUE_055,"Uganda's government to launch new initiatives to promote youth employment.",TRUE,Daily Monitor,News Website,English,2025-02-11    
UG_TRUE_056,"Uganda's government to enhance disaster risk reduction strategies.",TRUE,New Vision,News Website,English,2025-02-12
UG_TRUE_057,"Uganda's tourism sector to develop new adventure tourism experiences to attract visitors.",TRUE,VOA Swahili,News Website,Mixed,2025-02-12
UG_TRUE_058,"Uganda's government to implement new measures to support agricultural innovation.",TRUE,CNN,News Website,English,2025-02-13
UG_TRUE_059,"Uganda's healthcare system to expand access to primary healthcare services in underserved areas.",TRUE,BBC Africa,News Website,English,2025-02-13
UG_TRUE_060,"Uganda's education sector to receive new digital learning resources to enhance student engagement.",TRUE,The East African,News Website,English,2025-02-14  
UG_TRUE_061,"Uganda's government to invest in renewable energy infrastructure to support sustainable development.",TRUE,Daily Monitor,News Website,English,2025-02-14    
UG_TRUE_062,"Uganda's government to launch campaign to promote domestic tourism.",TRUE,New Vision,News Website,English,2025-02-15 
UG_TRUE_063,"Uganda's infrastructure development projects receive support from international donors.",TRUE,VOA Swahili,News Website,Mixed,2025-02-15
UG_TRUE_064,"Uganda's government to implement new policies to support innovation and technology development.",TRUE,CNN,News Website,English,2025-02-16
UG_TRUE_065,"Uganda's healthcare sector to receive new training programs for healthcare workers.",TRUE,BBC Africa,News Website,English,2025-02-16
